name,price,discount,rate,image
Playstation 5 Bag - Hand - Black,EGP 550.00,8%,4.8 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/011872/1.jpg?1093
Electronic Arts EA Sports FC 25 PS5,"EGP 3,450.00",None,5 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/1093701/1.jpg?0752
Playstation 5 Backpack Bag - Blue,EGP 500.00,None,None,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/559572/1.jpg?9087
Sony DualSense Wireless Controller For PS5 - Midnight Black,"EGP 4,730.00",17%,None,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/5533611/1.jpg?4038
Playstation 5 Bag - Hand - Black,EGP 550.00,8%,3.3 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/559572/1.jpg?8794
Dobe Charger Dual Wireless Dock Ps5 Controller - Tp5-3536B,"EGP 1,180.00",17%,None,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/4533611/1.jpg?3990
Sony DualSense Wireless Controller For PS5 - White And Black,"EGP 4,940.00",17%,None,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/5533611/1.jpg?4032
Sony DualSense Charging Station For PS5,"EGP 2,660.00",17%,None,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/5533611/1.jpg?4058
Dobe Ps5 Multifunctional Cooling Stand For P-5 White - TP5-05102,EGP 910.00,17%,None,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/5533611/1.jpg?4065
Playstation 5 Backpack Bag - Red,EGP 500.00,None,4.5 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/700672/1.jpg?1029
Playstation 5 Backpack Bag - Red,EGP 500.00,None,None,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/559572/1.jpg?9086
Playstation 5 Backpack Bag - Blue,EGP 500.00,None,None,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/700672/1.jpg?1027
Set Of 2 Soft Silicone Anti-Slip Protective Case For PS5,EGP 399.00,None,5 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/108294/1.jpg?4795
Silicone Case For PlayStation 4 Controller,EGP 200.00,None,None,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/731088/1.jpg?0788
Playstation 5 Backpack Bag - BLACK,EGP 500.00,None,4.5 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/579083/1.jpg?1807
Sony DualSense Wireless Controller For PS5 - Black And White,"EGP 4,500.00",12%,None,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/5566301/1.jpg?8864
Insomniac Games Spider-Man 2 PS5,"EGP 3,599.00",None,None,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/9899811/1.jpg?9245
Warner Bros. Interactive Mortal Kombat 1- Standard Edition (PS5),"EGP 2,553.00",None,5 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/413594/1.jpg?0511
PlayStation 5 Backpack - Black,EGP 500.00,None,None,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/032947/1.jpg?7634
PlayStation 5 Backpack - Black,EGP 500.00,None,None,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/032947/1.jpg?7635
Rockstar Games GTA 5: Grand Theft Auto V - PS5,"EGP 1,825.00",None,None,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/038154/1.jpg?8143
Bandai Namco Elden Ring - PlayStation 5,"EGP 2,485.00",None,None,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/329052/1.jpg?4145
Rockstar Games Grand Theft Auto V Ps5 Game,"EGP 1,453.00",None,None,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/750523/1.jpg?6444
UBISOFT Far Cry 6 PlayStation 5 - Arabic,"EGP 1,999.00",None,None,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/424032/1.jpg?4664
Playstation The Last Of Us Part II Remastered - PS5,"EGP 2,750.00",None,None,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/997676/1.jpg?8900
Dobe PS5 Controller Charging Station Compatible with PS5,EGP 649.00,None,2 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/164705/1.jpg?3584
Sony PlayStation 5 DualSense - Black - (IBS Warranty),"EGP 4,799.00",17%,5 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/381983/1.jpg?1899
Sony Playstation 5 Slim Console - White,"EGP 38,310.00",17%,None,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/4276111/1.jpg?1664
I Play Multifunctional Cooling Stand For Ps5-Ps5 Digtal Edtion With Touch Screen,"EGP 1,499.00",None,5 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/778332/1.jpg?8464
Sony PLAYSTATION VR2,"EGP 32,999.00",None,None,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/6245611/1.jpg?8610
Playstation Marvelâ€™s Spider-Man 2 - PS5,"EGP 3,750.00",None,None,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/356964/1.jpg?8312
Playstation 5 Backpack Bag - BLACK,EGP 500.00,None,3.7 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/559572/1.jpg?8969
Square Enix Final Fantasy XVI ( PS5 ),"EGP 2,975.00",None,5 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/159474/1.jpg?0707
Playstation Faceplate Face Console Plate Cover Case Housing Shell For PS5 Slim (Disk Edition)- Spider,"EGP 1,808.00",None,None,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/1093701/1.jpg?0749
Sony DualSense Charging Station For PlayStation 5 Controller,"EGP 1,575.00",None,1 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/446942/1.jpg?2770
Chamunda Oivo Ps5 Horizontal Stand (White),EGP 900.00,None,None,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/252125/1.jpg?4605
"Dobe PlayStation 5 Controller Charging Dock, USB, White",EGP 300.00,None,5 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/056494/1.jpg?9951
Rubber Silicone Cover For PlayStation 5 Controller,EGP 250.00,None,5 out of 5,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/626984/1.jpg?9924
Sony DualSense Wireless Controller For PS5 - White,"EGP 4,450.00",None,None,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/1323821/1.jpg?0270
Playstation 5 Controller Charging Stand Fast Charging Stand,EGP 700.00,None,None,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/119586/1.jpg?9569
